r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.873843193054199219e-01,9.873843193054199219e-01,5.119873881340026855e-01,9.873843193054199219e-01,6.737827777862548828e+00,4.416666507720947266e+00,0.000000000000000000e+00,3.490000000000000000e+02,3.000000000000000000e+00,1.840000000000000000e+02,0.000000000000000000e+00,1.057502776384353638e-01,2.734375000000000000e-02,4.659999907016754150e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.819420242309570312e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.313934087753295898e-01,9.873843193054199219e-01,6.983164787292480469e+00,4.388888835906982422e+00,0.000000000000000000e+00,3.600000000000000000e+02,3.000000000000000000e+00,2.010000000000000000e+02,0.000000000000000000e+00,1.054857671260833740e-01,3.906250000000000000e-02,4.059999883174896240e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.927191162109375000e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.416800975799560547e-01,9.873843193054199219e-01,6.643382549285888672e+00,4.333333492279052734e+00,0.000000000000000000e+00,3.380000000000000000e+02,3.000000000000000000e+00,1.650000000000000000e+02,1.000000000000000000e+00,1.054719612002372742e-01,4.296875000000000000e-02,4.560000002384185791e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.035795974731445312e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.088595151901245117e-01,9.873843193054199219e-01,6.876325130462646484e+00,4.083333492279052734e+00,0.000000000000000000e+00,3.490000000000000000e+02,2.000000000000000000e+00,1.880000000000000000e+02,0.000000000000000000e+00,1.070332899689674377e-01,3.906250000000000000e-02,4.339999854564666748e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.137998199462890625e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.254057645797729492e-01,9.873843193054199219e-01,6.807692527770996094e+00,4.133333206176757812e+00,0.000000000000000000e+00,3.450000000000000000e+02,2.000000000000000000e+00,1.740000000000000000e+02,0.000000000000000000e+00,1.071355417370796204e-01,3.125000000000000000e-02,4.280000030994415283e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.245427703857421875e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.247617363929748535e-01,9.873843193054199219e-01,6.715277671813964844e+00,4.625000000000000000e+00,0.000000000000000000e+00,3.410000000000000000e+02,3.000000000000000000e+00,1.740000000000000000e+02,1.000000000000000000e+00,1.084670722484588623e-01,3.515625000000000000e-02,4.239999949932098389e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.351572418212890625e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.161626935005187988e-01,9.873843193054199219e-01,6.711340427398681641e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.520000000000000000e+02,1.000000000000000000e+00,1.700000000000000000e+02,0.000000000000000000e+00,1.086193174123764038e-01,3.125000000000000000e-02,4.180000126361846924e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.476482772827148438e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.200093984603881836e-01,9.873843193054199219e-01,7.003571510314941406e+00,5.076922893524169922e+00,0.000000000000000000e+00,3.450000000000000000e+02,3.000000000000000000e+00,1.820000000000000000e+02,1.000000000000000000e+00,1.111897677183151245e-01,3.906250000000000000e-02,4.399999976158142090e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.584796524047851562e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.155462622642517090e-01,9.873843193054199219e-01,6.976027488708496094e+00,4.363636493682861328e+00,0.000000000000000000e+00,3.690000000000000000e+02,2.000000000000000000e+00,1.920000000000000000e+02,0.000000000000000000e+00,1.110958680510520935e-01,3.906250000000000000e-02,4.160000085830688477e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.693972396850585938e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.168545842170715332e-01,9.873843193054199219e-01,7.210000038146972656e+00,4.142857074737548828e+00,0.000000000000000000e+00,3.660000000000000000e+02,2.000000000000000000e+00,1.890000000000000000e+02,0.000000000000000000e+00,1.126074418425559998e-01,3.515625000000000000e-02,4.000000059604644775e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.801847839355468750e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.267032384872436523e-01,9.873843193054199219e-01,6.881720542907714844e+00,5.066666603088378906e+00,0.000000000000000000e+00,3.580000000000000000e+02,4.000000000000000000e+00,1.930000000000000000e+02,2.000000000000000000e+00,1.149706020951271057e-01,8.318541198968887329e-02,4.420000016689300537e-01,0.000000000000000000e+00,9.873843193054199219e-01,5.905825805664062500e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.296875238418579102e-01,9.873843193054199219e-01,7.447653293609619141e+00,5.045454502105712891e+00,0.000000000000000000e+00,3.680000000000000000e+02,7.000000000000000000e+00,2.060000000000000000e+02,1.000000000000000000e+00,1.168284118175506592e-01,3.906250000000000000e-02,4.460000097751617432e-01,0.000000000000000000e+00,9.873843193054199219e-01,6.017997741699218750e+01
